X,Y,stop_id,stop_name,stop_desc,stop_lat,stop_lon
-135.349173,57.059942,MCDONALDS,McDonalds,McDonald's Parking Lot across from Peterson Ave,57.059938,-135.349377
-135.346066,57.057111,LAKESIDE,Lakeside Grocery,AC Lakeside Grocery and shopping center,57.057107,-135.34627
-135.336751,57.049634,RNDM_HOUSE,Random House,"Downtown near Ernie's, Old Harbor Books, and Harry Race Pharmacy & Ice Cream Parlor",57.04963,-135.336955
-135.345621,57.059807,COMM_HOSPITAL,Sitka Community Hospital,Near Sitka Community Hospital and Moller Field,57.059803,-135.345825
-135.350402,57.063196,KASHEVAROFF,Kashevaroff St / Edgecumbe Dr,"Near Keet Gooshi Heen Elementary, Kimsham Ball Fields, and Cross Trail access",57.063192,-135.350606
-135.355018,57.064874,MILLS,Mills St / Edgecumbe Dr,Near 1300 block of Edgecumbe Dr between Kostrometinoff St & Neva St,57.06487,-135.355222
-135.359386,57.066487,CHARTERIS,Charteris St / Edgecumbe Dr,"End of stops along Edgecumbe Dr, Cross Trail access via Charteris St",57.066483,-135.35959
-135.367357,57.068349,SEA_MART,Sea Mart,Sea Mart Quality Foods grocery store,57.068345,-135.367561
-135.366412,57.06941,GRACE_HARB,Grace Harbor Church,Outbound (to ferry terminal) - Near 1900 block of HPR & Cascade Creek Rd,57.069406,-135.366616
-135.369543,57.073839,CASC_OUT,Cascade Creek Bridge - Outbound,Outbound (to ferry terminal) - Near 2100 block of HPR & Kramer Ave,57.073835,-135.369747
-135.373408,57.077028,SAND_DOLLAR,Sand Dollar Dr / Halibut Point Rd,Outbound (to ferry terminal) - Near 2200 block of HPR & Sand Dollar Dr,57.077024,-135.373612
-135.38104,57.085544,SHARON_DR,Sharon Dr / Halibut Point Rd,Outbound (to ferry terminal) - Near 2700 block of HPR & Sharon Dr,57.08554,-135.381244
-135.385962,57.089241,CHANNEL_CLUB,Channel Club,Outbound (to ferry terminal) - Near 2900 block of HPR & Channel Club Restaurant,57.089237,-135.386166
-135.391032,57.092933,SOLLARS_OUT,Sollars Ct / Halibut Point Rd - Outbound,Outbound (to ferry terminal) - Near 3200 block of HPR & Sollars Ct,57.092929,-135.391236
-135.399437,57.10273,REC_OUT,HPR Rec - Outbound,Outbound (to ferry terminal) - Near 3800 block of HPR & Granite Creek Rd and across from the Rec,57.102726,-135.399641
-135.394011,57.112419,HORIZON_WY,Horizon Way / Halibut Point Rd,Outbound (to ferry terminal) - Near 4400 block of HPR & Mini Storage,57.112415,-135.394215
-135.386558,57.118229,BLUE_APTS,Blue Apartments,Outbound (to ferry terminal) - Near 4700 block of HPR & Blue Apartments,57.118225,-135.386762
-135.380295,57.127722,FERRY_TERM,Ferry Terminal,"Ferry Terminal, Alaska Marine Highway - Final stop along Halibut Point Rd",57.127718,-135.380499
-135.387009,57.117929,WILDLIFE,Wildlife Troopers,Inbound (to downtown) - Near 4700 block of HPR & Alaska Wildlife Troopers,57.117925,-135.387213
-135.396125,57.111182,PIRATES_WY,Pirates Wy / Halibut Point Rd,Inbound (to downtown) - Near 4300 block of HPR & Mini Storage,57.111178,-135.396329
-135.397979,57.100113,REC_IN,HPR Rec - Inbound,Inbound (to downtown) - Near 3700 block of HPR & Granite Creek Rd and across from the Rec,57.100109,-135.398183
-135.39082,57.09244,SOLLARS_IN,Sollars Ct / Halibut Point Rd - Inbound,Inbound (to downtown) - Near 3200 block of HPR & Sollars Ct,57.092436,-135.391024
-135.38191,57.086082,EAGLES_ROOST,Eagles Roost,Inbound (to downtown) - Near 2700 block of HPR & Where Eagles Roost,57.086078,-135.382114
-135.373166,57.076556,SANDY_BEACH,Sandy Beach,Inbound (to downtown) - Near 2200 block of HPR & Sandy Beach,57.076552,-135.37337
-135.369677,57.073679,CASC_IN,Cascade Creek Bridge - Inbound,Inbound (to downtown) - Near 2100 block of HPR & Kramer Ave,57.073675,-135.369881
-135.366378,57.068733,ALDER_WY,Alder Wy / Halibut Point Rd,Inbound (to downtown) - Near 1800 block of HPR & Cascade Creek Rd,57.068729,-135.366582
-135.339389,57.050282,COMM_HOUSE,Community House,Sheetka Kwaan Naa Kahidi Community House - 200 Katlian St,57.050278,-135.339593
-135.344267,57.053095,SITKA_TRIBE,Sitka Tribe,Sitka Tribe of Alaska offices - 456 Katlian St,57.053091,-135.344471
-135.347636,57.056605,CTR_FOR_COMM,Center For Community,Center For Community & Sitka Medical Center - 700 Katlian St,57.056601,-135.34784
-135.317995,57.054421,KAASDAA_HEEN,Kaasdaa Heen Cr / Indian River Rd,Across from ANB Cemetery,57.054417,-135.318199
-135.311226,57.055672,PETER_SIMPSON,Peter Simpson Rd / Indian River Rd,Near Yaw Dr and Indian River Trailhead,57.055668,-135.31143
-135.35099,57.052083,UAS,UAS,University of Alaska Southeast Sitka extension and Mt Edgecumbe High School,57.052079,-135.351194
-135.348556,57.05033,USCG,US Coast Guard,United States Coast Guard Maple parking lot,57.050326,-135.34876
-135.355293,57.052126,SEARHC,SEARHC - Mt Edgecumbe Hospital,Main entrance to SEARHC - Mt Edgecumbe Hospital near Seward Ave,57.052122,-135.355497
-135.347905,57.04904,SEALING_COVE,Sealing Cove,Sealing Cove Harbor parking lot near Alice Lp,57.049036,-135.348109
